City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
0,Dharchula,IN,60.67,clear sky,29.85,80.5333,Mahara Hotel
1,Hilo,US,71.26,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
2,Rikitea,PF,79.95,broken clouds,-23.1203,-134.9692,People ThankYou
3,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
4,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
5,Faanui,PF,80.56,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
6,Namibe,AO,76.1,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
7,Dharchula,IN,60.67,clear sky,29.85,80.5333,Mahara Hotel
8,Hilo,US,71.26,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
9,Rikitea,PF,79.95,broken clouds,-23.1203,-134.9692,People ThankYou
10,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
11,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
12,Faanui,PF,80.56,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Namibe,AO,76.1,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
14,Dharchula,IN,60.67,clear sky,29.85,80.5333,Mahara Hotel
15,Hilo,US,71.33,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
16,Rikitea,PF,79.95,broken clouds,-23.1203,-134.9692,People ThankYou
17,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
18,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
19,Faanui,PF,80.56,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Namibe,AO,76.1,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
21,Dharchula,IN,60.67,clear sky,29.85,80.5333,Mahara Hotel
22,Hilo,US,71.33,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Rikitea,PF,79.95,broken clouds,-23.1203,-134.9692,People ThankYou
24,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
25,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
26,Faanui,PF,80.56,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Namibe,AO,76.1,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
28,Luanda,AO,82.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
29,Laguna,US,78.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
30,Atuona,PF,78.39,light rain,-9.8,-139.0333,Villa Enata
31,Pandan,PH,78.01,broken clouds,14.0453,124.1694,Bonifacio Lodge
32,Antalaha,MG,76.75,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
33,Macas,EC,78.55,scattered clouds,-2.3167,-78.1167,Casa Upano
34,Sakaraha,MG,75.99,scattered clouds,-22.9,44.5333,Le Relais
35,Bengkulu,ID,75.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
36,Saint-Pierre,RE,80.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
37,Butaritari,KI,79.75,light rain,3.0707,172.7902,Isles Sunset Lodge
38,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
39,Dholka,IN,86.38,scattered clouds,22.7167,72.4667,jalalpur godhaneshwer
40,Hambantota,LK,79.59,broken clouds,6.1241,81.1185,Bungalow 63
41,Caldwell,US,62.35,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
42,Mahebourg,MU,80.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Linhares,BR,76.12,overcast clouds,-19.3911,-40.0722,Hotel Conceição
44,Camana,PE,73.53,overcast clouds,-16.6228,-72.7111,Hostal Morales
45,Marawi,PH,66.76,overcast clouds,7.9986,124.2928,Derogongan Residence
46,Evans,US,74.26,overcast clouds,33.5337,-82.1307,Evans hide out
47,Arica,CL,80.15,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
48,Paita,PE,80.4,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
49,Soe,ID,65.52,broken clouds,-9.8607,124.284,Dena Hotel
50,Ambunti,PG,72.19,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
51,Alyangula,AU,75.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
52,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Hithadhoo,MV,83.8,clear sky,-0.6,73.0833,Scoop Guest House
55,Lima,PE,73.38,clear sky,-12.0432,-77.0282,Hotel Kamana
56,Kutum,SD,77.79,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
57,Bredasdorp,ZA,69.75,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
58,Harper,LR,82.42,overcast clouds,4.375,-7.7169,Screensaver
59,Nedjo,ET,71.94,broken clouds,9.5046,35.5019,Yerosan Hotel
60,Kirakira,SB,78.87,broken clouds,-10.4544,161.9205,SanBiz Lodge
61,Caravelas,BR,80.6,light rain,-17.7125,-39.2481,Pousada dos Navegantes
62,Kruisfontein,ZA,63.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
63,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
64,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
65,Palauig,PH,80.35,few clouds,15.435,119.9045,Alperi Botique Resort
66,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
67,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Novotel Dakar
68,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
69,Lorengau,PG,81.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
70,Castro,BR,72.05,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
71,Ughelli,NG,79.03,heavy intensity rain,5.4899,6.0074,Prestige Hotel
72,Sugod,PH,79.47,scattered clouds,12.987,124.0805,Musngi Garage
73,Souillac,MU,80.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
74,Panuco,MX,78.42,clear sky,22.05,-98.1667,Hotel Plaza
75,Chuy,UY,82.0,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
76,Chirongui,YT,84.13,broken clouds,-12.9319,45.1483,La Villa Mahatsara
77,Moerai,PF,79.56,overcast clouds,-22.4333,-151.3333,Le Manotel
78,Christchurch,NZ,63.0,light rain,-43.5333,172.6333,The George
79,Luganville,VU,77.23,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
80,Blantyre,MW,64.45,broken clouds,-15.785,35.0085,Home Up Guest House
81,Casino,AU,71.56,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
82,Hermanus,ZA,70.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Lompoc,US,79.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
84,Tucuman,AR,84.2,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
85,Port-Gentil,GA,84.16,few clouds,-0.7193,8.7815,Fengshui Residence
86,Charlestown,AU,68.86,light rain,-32.95,151.6667,Panorama Motor Inn Hotel
87,Parintins,BR,83.03,moderate rain,-2.6283,-56.7358,Cama e Cafe
