City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions
0,Tiksi,RU,71.6872,128.8694,-15.74,100,50,4.29,scattered clouds
1,Ouadda,CF,8.0777,22.4007,88.03,23,89,4.23,overcast clouds
2,Dharchula,IN,29.85,80.5333,60.67,32,2,7.27,clear sky
3,Hilo,US,19.7297,-155.09,71.26,93,100,0.0,moderate rain
4,Torbay,CA,47.6666,-52.7314,36.28,82,75,10.36,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,79.95,71,70,17.11,broken clouds
6,Yulara,AU,-25.2406,130.9889,76.84,44,40,9.22,scattered clouds
7,Andenes,NO,69.3143,16.1194,35.58,80,75,13.8,light rain
8,Fairbanks,US,64.8378,-147.7164,6.22,60,40,8.05,scattered clouds
9,Abha,SA,18.2164,42.5053,64.22,77,0,6.91,clear sky
10,Barrow,US,71.2906,-156.7887,-16.58,76,0,14.97,clear sky
11,Grindavik,IS,63.8424,-22.4338,45.07,100,100,19.57,overcast clouds
12,Faanui,PF,-16.4833,-151.75,80.56,73,89,10.83,overcast clouds
13,Namibe,AO,-15.1961,12.1522,76.1,82,87,5.66,overcast clouds
14,Bronnoysund,NO,65.4625,12.1997,42.8,93,75,21.99,broken clouds
15,Askiz,RU,53.1319,90.5264,20.91,72,38,10.67,scattered clouds
16,Tiksi,RU,71.6872,128.8694,-15.74,100,50,4.29,scattered clouds
17,Ouadda,CF,8.0777,22.4007,88.03,23,89,4.23,overcast clouds
18,Dharchula,IN,29.85,80.5333,60.67,32,2,7.27,clear sky
19,Hilo,US,19.7297,-155.09,71.26,93,100,0.0,moderate rain
20,Torbay,CA,47.6666,-52.7314,36.28,82,75,10.36,broken clouds
21,Rikitea,PF,-23.1203,-134.9692,79.95,71,70,17.11,broken clouds
22,Yulara,AU,-25.2406,130.9889,76.84,44,40,9.22,scattered clouds
23,Andenes,NO,69.3143,16.1194,35.58,80,75,13.8,light rain
24,Fairbanks,US,64.8378,-147.7164,6.22,60,40,8.05,scattered clouds
25,Abha,SA,18.2164,42.5053,64.22,77,0,6.91,clear sky
26,Barrow,US,71.2906,-156.7887,-16.58,76,0,14.97,clear sky
27,Grindavik,IS,63.8424,-22.4338,45.07,100,100,19.57,overcast clouds
28,Faanui,PF,-16.4833,-151.75,80.56,73,89,10.83,overcast clouds
29,Namibe,AO,-15.1961,12.1522,76.1,82,87,5.66,overcast clouds
30,Bronnoysund,NO,65.4625,12.1997,42.8,93,75,21.99,broken clouds
31,Askiz,RU,53.1319,90.5264,20.91,72,38,10.67,scattered clouds
32,Tiksi,RU,71.6872,128.8694,-15.74,100,50,4.29,scattered clouds
33,Ouadda,CF,8.0777,22.4007,88.03,23,89,4.23,overcast clouds
