City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-03-22 16:18:45,-23.1203,-134.9692,79.12,73,26,14.09
1,Mataura,NZ,2022-03-22 16:16:58,-46.1927,168.8643,53.29,98,9,1.97
2,Pyaozerskiy,RU,2022-03-22 16:18:46,65.8333,31.1667,33.57,94,84,8.39
3,Lexington,US,2022-03-22 16:15:49,37.9887,-84.4777,66.29,35,20,11.5
4,Kapaa,US,2022-03-22 16:18:47,22.0752,-159.319,73.72,85,20,14.97
5,Hobart,AU,2022-03-22 16:14:28,-42.8794,147.3294,55.26,75,100,9.22
6,Beisfjord,NO,2022-03-22 16:18:48,68.3751,17.5988,42.04,98,100,6.02
7,Cape Town,ZA,2022-03-22 16:15:02,-33.9258,18.4232,80.11,52,0,18.41
8,Cherskiy,RU,2022-03-22 16:18:50,68.75,161.3,12.97,86,47,8.63
9,Okhotsk,RU,2022-03-22 16:18:50,59.3833,143.3,17.64,96,100,5.46
10,New Norfolk,AU,2022-03-22 16:18:51,-42.7826,147.0587,54.9,63,51,5.99
11,Yellowknife,CA,2022-03-22 16:17:28,62.456,-114.3525,1.42,76,20,11.5
12,Vardo,NO,2022-03-22 16:18:51,70.3705,31.1107,33.78,80,75,17.27
13,Fortuna,US,2022-03-22 16:18:52,40.5982,-124.1573,51.93,98,100,4.61
14,Santa Ana,US,2022-03-22 16:16:55,33.7456,-117.8678,80.62,65,20,4.61
15,Ushuaia,AR,2022-03-22 16:18:53,-54.8,-68.3,53.22,76,75,20.71
16,Coihaique,CL,2022-03-22 16:14:02,-45.5752,-72.0662,59.61,58,75,8.05
17,Khatanga,RU,2022-03-22 16:18:53,71.9667,102.5,-16.13,99,97,3.49
18,Puerto Ayora,EC,2022-03-22 16:18:54,-0.7393,-90.3518,84.16,86,70,5.99
19,Hofn,IS,2022-03-22 16:18:54,64.2539,-15.2082,45.37,99,100,12.35
20,Inuvik,CA,2022-03-22 16:18:55,68.3499,-133.7218,-6.74,71,100,4.61
21,Severo-Kurilsk,RU,2022-03-22 16:18:56,50.6789,156.125,26.71,63,85,19.64
22,Carnarvon,AU,2022-03-22 16:18:56,-24.8667,113.6333,77.07,78,95,11.5
23,Atar,MR,2022-03-22 16:18:57,20.5169,-13.0499,97.07,6,0,14.7
24,Peterhead,GB,2022-03-22 16:18:57,57.5058,-1.7981,60.46,81,34,13.62
25,Demidov,RU,2022-03-22 16:18:58,55.2706,31.515,34.18,97,1,4.03
26,Lata,PT,2022-03-22 16:18:58,40.1629,-8.3327,56.8,66,84,9.4
27,Tiksi,RU,2022-03-22 16:18:59,71.6872,128.8694,-16.38,97,93,3.87
28,Chuy,UY,2022-03-22 16:18:59,-33.6971,-53.4616,74.39,62,100,10.8
29,Porto Novo,BJ,2022-03-22 16:19:00,6.4965,2.6036,85.82,62,80,13.29
30,Punta Arenas,CL,2022-03-22 16:19:00,-53.15,-70.9167,53.71,54,0,23.02
31,Kutum,SD,2022-03-22 16:19:01,14.2,24.6667,86.5,7,100,5.7
32,Bengkulu,ID,2022-03-22 16:19:02,-3.8004,102.2655,77.27,83,76,4.52
33,Atuona,PF,2022-03-22 16:19:02,-9.8,-139.0333,79.02,77,100,15.1
34,Castro,BR,2022-03-22 16:19:03,-24.7911,-50.0119,71.73,61,61,7.49
35,Norman Wells,CA,2022-03-22 16:19:04,65.282,-126.8329,-14.76,76,20,5.75
36,Ellsworth,US,2022-03-22 16:19:04,44.5434,-68.4195,39.99,47,75,16.11
37,Torbay,CA,2022-03-22 16:15:29,47.6666,-52.7314,37.89,73,75,33.38
38,Paamiut,GL,2022-03-22 16:19:05,61.994,-49.6678,22.89,54,100,4.9
39,San Rafael,AR,2022-03-22 16:19:05,-34.6177,-68.3301,72.79,30,0,5.73
40,Sao Felix Do Xingu,BR,2022-03-22 16:16:43,-6.6447,-51.995,86.27,64,99,1.59
41,Tarrega,ES,2022-03-22 16:19:06,41.647,1.1396,53.98,52,82,14.99
42,Hilo,US,2022-03-22 16:18:36,19.7297,-155.09,69.24,84,40,6.91
43,Puerto Cabezas,NI,2022-03-22 16:19:07,14.0351,-83.3888,85.96,74,40,11.5
44,Pevek,RU,2022-03-22 16:19:07,69.7008,170.3133,23.92,78,100,22.88
45,Albany,US,2022-03-22 16:18:37,42.6001,-73.9662,44.94,28,5,3.0
46,Banda Aceh,ID,2022-03-22 16:20:08,5.5577,95.3222,80.69,79,84,8.88
47,Butaritari,KI,2022-03-22 16:20:09,3.0707,172.7902,80.92,79,22,13.85
48,Upernavik,GL,2022-03-22 16:20:09,72.7868,-56.1549,-7.96,72,100,7.4
49,Georgetown,MY,2022-03-22 16:18:11,5.4112,100.3354,85.95,83,20,5.75
50,Lyngseidet,NO,2022-03-22 16:20:10,69.5763,20.2189,44.6,99,99,8.99
51,Paracuru,BR,2022-03-22 16:20:10,-3.41,-39.0306,81.1,76,44,10.25
52,Flin Flon,CA,2022-03-22 16:20:11,54.7682,-101.865,31.84,93,100,13.8
53,Hithadhoo,MV,2022-03-22 16:20:12,-0.6,73.0833,83.84,75,5,17.63
54,Corowa,AU,2022-03-22 16:20:12,-36.0333,146.3833,63.41,80,100,10.96
55,Provideniya,RU,2022-03-22 16:20:13,64.3833,-173.3,8.44,85,32,3.49
56,Milkovo,RU,2022-03-22 16:20:14,54.7167,158.6167,1.8,89,43,4.88
57,Pangkalanbuun,ID,2022-03-22 16:20:14,-2.6833,111.6167,75.04,83,100,1.77
58,Karratha,AU,2022-03-22 16:20:15,-20.7377,116.8463,87.12,60,100,19.22
59,Flinders,AU,2022-03-22 16:20:15,-34.5833,150.8552,70.05,88,87,4.0
